id,name,team,position,jersey,dob,age,western,chinese,chineseEnglish,chineseYearOnly,cnyDiffers,lifePath,lifePathDigitSum,natalCompound,yearsExp,college
00-0035378,Andrew Wingard,ARI,DB,28,1996-12-05,29,Sagittarius,Rat,Fire Rat,Rat,false,42/6,33,33,7,Wyoming
00-0037157,Bam Knight,ARI,RB,20,2001-04-11,25,Aries,Snake,Metal Snake,Snake,false,18/9,9,9,4,N.C. State
00-0036995,Baron Browning,ARI,LB,5,1999-02-19,27,Pisces,Rabbit,Earth Rabbit,Rabbit,false,49/13/4,40/4,40/4,5,Ohio State
00-0035859,Blake Gillikin,ARI,P,12,1998-01-21,28,Aquarius,Ox,Fire Ox,Tiger,true,49/13/4,31/4,31/4,6,Penn State
00-0033890,Budda Baker,ARI,DB,3,1996-01-10,30,Capricorn,Pig,Wood Pig,Rat,true,36/9,27/9,27/9,9,Washington
00-0030957,Casey Kreiter,ARI,LS,59,1990-08-13,36,Leo,Horse,Metal Horse,Horse,false,40/4,31/4,31/4,12,Iowa
00-0038567,Chad Ryland,ARI,K,38,1999-10-15,26,Libra,Rabbit,Earth Rabbit,Rabbit,false,53/8,35/8,35/8,3,Maryland; Eastern Michigan
00-0040645,Cody Simon,ARI,LB,0,2002-04-01,24,Aries,Horse,Water Horse,Horse,false,9,9,9,1,Ohio State
00-0039864,Dadrion Taylor-Demerson,ARI,DB,42,2001-01-20,25,Aquarius,Dragon,Metal Dragon,Snake,true,24/6,6,6,2,Texas Tech
00-0038623,Dante Stills,ARI,DL,55,1999-12-14,26,Sagittarius,Rabbit,Earth Rabbit,Rabbit,false,54/9,36/9,36/9,3,West Virginia
00-0039854,Darius Robinson,ARI,DL,56,2001-09-13,25,Virgo,Snake,Metal Snake,Snake,false,25/7,16/7,16/7,2,Missouri
00-0040195,Denzel Burke,ARI,DB,29,2002-11-10,23,Scorpio,Horse,Water Horse,Horse,false,25/7,7,7,1,Ohio State
00-0036331,Devin Duvernay,ARI,WR,81,1997-09-12,29,Virgo,Ox,Fire Ox,Ox,false,47/11,38/11,38/11,6,Texas
00-0038782,Eku Leota,ARI,LB,54,1999-05-11,27,Taurus,Rabbit,Earth Rabbit,Rabbit,false,44/8,35/8,35/8,3,Auburn
00-0039041,Elijah Higgins,ARI,TE,84,2000-10-27,25,Scorpio,Dragon,Metal Dragon,Dragon,false,39/12/3,12/3,12/3,3,Stanford
00-0033676,Elijah Wilkinson,ARI,OL,65,1995-02-10,31,Aquarius,Pig,Wood Pig,Pig,false,36/9,27/9,27/9,9,UMass Amherst
00-0035289,Gardner Minshew,ARI,QB,15,1996-05-16,30,Taurus,Rat,Fire Rat,Rat,false,46/10/1,37/10/1,37/10/1,7,Washington State
00-0040219,Hayden Conner,ARI,OL,58,2002-04-26,24,Taurus,Horse,Water Horse,Horse,false,34/7,16/7,16/7,1,Texas
00-0035258,Hjalte Froholdt,ARI,OL,72,1996-08-20,30,Leo,Rat,Fire Rat,Rat,false,53/8,35/8,35/8,7,Arkansas
00-0037004,Hunter Long,ARI,TE,89,1998-08-19,28,Leo,Tiger,Earth Tiger,Tiger,false,54/9,45/9,45/9,5,Boston College
00-0032954,Isaac Seumalo,ARI,OL,73,1993-10-29,32,Scorpio,Rooster,Water Rooster,Rooster,false,61/7,34/7,34/7,10,Oregon State
00-0039808,Isaiah Adams,ARI,OL,74,2000-07-21,26,Cancer,Dragon,Metal Dragon,Dragon,false,30/3,12/3,12/3,2,Illinois; Garden City CC
00-0037596,Jack Gibbens,ARI,LB,50,1998-11-24,27,Sagittarius,Tiger,Earth Tiger,Tiger,false,62/8,35/8,35/8,4,Minnesota; Abilene Christian
00-0033119,Jacoby Brissett,ARI,QB,7,1992-12-11,33,Sagittarius,Monkey,Water Monkey,Monkey,false,44/8,26/8,26/8,10,N.C. State; Florida
00-0038640,Jalen Brooks,ARI,WR,86,2000-05-07,26,Taurus,Dragon,Metal Dragon,Dragon,false,14/5,14/5,14/5,3,South Carolina; Tarleton State; Wingate
00-0041113,Jayden Williams,ARI,OL,66,2003-04-10,23,Aries,Goat,Water Goat,Goat,false,19/10/1,10/1,10/1,0,Mississippi
00-0041027,Jeremiyah Love,ARI,RB,4,2005-05-31,21,Gemini,Rooster,Wood Rooster,Rooster,false,43/7,16/7,16/7,0,Notre Dame
00-0038571,Jon Gaines II,ARI,OL,71,1999-05-24,27,Gemini,Rabbit,Earth Rabbit,Rabbit,false,57/12/3,39/12/3,39/12/3,3,UCLA
00-0040137,Jordan Burch,ARI,LB,52,2001-10-10,24,Libra,Snake,Metal Snake,Snake,false,23/5,5,5,1,Oregon; South Carolina
00-0034381,Josh Sweat,ARI,LB,10,1997-03-29,29,Aries,Ox,Fire Ox,Ox,false,58/13/4,40/4,40/4,8,Florida State
00-0039239,Kalen King,ARI,DB,35,2003-01-28,23,Aquarius,Horse,Water Horse,Goat,true,34/7,16/7,16/7,2,Penn State
00-0041093,Karson Sharar,ARI,LB,43,2003-03-07,23,Pisces,Goat,Water Goat,Goat,false,15/6,15/6,15/6,0,Iowa
00-0038984,Kei'Trel Clark,ARI,DB,13,2001-03-19,25,Pisces,Snake,Metal Snake,Snake,false,25/7,16/7,16/7,3,Louisville
00-0033307,Kendrick Bourne,ARI,WR,17,1995-08-04,31,Leo,Pig,Wood Pig,Pig,false,36/9,36/9,36/9,9,Eastern Washington
00-0035636,L.J. Collier,ARI,DL,91,1995-09-12,31,Virgo,Pig,Wood Pig,Pig,false,45/9,36/9,36/9,7,TCU
00-0035144,Mack Wilson,ARI,LB,1,1998-02-14,28,Aquarius,Tiger,Earth Tiger,Tiger,false,43/7,34/7,34/7,7,Alabama
00-0039849,Marvin Harrison Jr.,ARI,WR,18,2002-08-11,24,Leo,Horse,Water Horse,Horse,false,23/5,14/5,14/5,2,Ohio State
00-0039807,Max Melton,ARI,DB,16,2002-04-15,24,Aries,Horse,Water Horse,Horse,false,23/5,14/5,14/5,2,Rutgers
00-0038559,Michael Wilson,ARI,WR,14,2000-02-23,26,Pisces,Dragon,Metal Dragon,Dragon,false,27/9,9,9,3,Stanford
00-0038540,Paris Johnson Jr.,ARI,OL,70,2001-07-03,25,Cancer,Snake,Metal Snake,Snake,false,13/4,13/4,13/4,3,Ohio State
00-0036568,Roy Lopez,ARI,DL,51,1997-08-07,29,Leo,Ox,Fire Ox,Ox,false,41/5,41/5,41/5,5,Arizona
00-0036646,Simi Fehoko,ARI,WR,80,1997-11-05,28,Scorpio,Ox,Fire Ox,Ox,false,42/6,33,33,5,Stanford
00-0037744,Trey McBride,ARI,TE,85,1999-11-22,26,Sagittarius,Rabbit,Earth Rabbit,Rabbit,false,61/7,34/7,34/7,4,Colorado State
00-0037263,Tyler Allgeier,ARI,RB,22,2000-04-15,26,Aries,Dragon,Metal Dragon,Dragon,false,21/3,12/3,12/3,4,BYU
00-0040706,Walter Nolen,ARI,DL,97,2003-10-14,22,Libra,Goat,Water Goat,Goat,false,29/11,11,11,1,Mississippi; Texas A&M
00-0040751,Will Johnson,ARI,DB,2,2003-03-29,23,Aries,Goat,Water Goat,Goat,false,37/10/1,19/10/1,19/10/1,1,Michigan
00-0041370,Wydett Williams Jr.,ARI,DB,31,2003-12-05,22,Sagittarius,Goat,Water Goat,Goat,false,22,13/4,13/4,0,Mississippi; Louisiana-Monroe; Delta State University
00-0036933,Zaven Collins,ARI,LB,25,1999-05-19,27,Taurus,Rabbit,Earth Rabbit,Rabbit,false,52/7,43/7,43/7,5,Tulsa
00-0036285,A.J. Terrell,ATL,DB,24,1998-09-23,27,Libra,Tiger,Earth Tiger,Tiger,false,59/14/5,41/5,41/5,6,Clemson
00-0032392,Austin Hooper,ATL,TE,81,1994-10-29,31,Scorpio,Dog,Wood Dog,Dog,false,62/8,35/8,35/8,10,Stanford
00-0041469,Avieon Terrell,ATL,DB,12,2005-01-11,21,Capricorn,Monkey,Wood Monkey,Rooster,true,19/10/1,10/1,10/1,0,Clemson
00-0038542,Bijan Robinson,ATL,RB,7,2002-01-30,24,Aquarius,Snake,Metal Snake,Horse,true,35/8,8,8,3,Texas
00-0039859,Brandon Dorlus,ATL,DL,54,2001-03-22,25,Aries,Snake,Metal Snake,Snake,false,28/10/1,10/1,10/1,2,Oregon
00-0037746,Brian Robinson,ATL,RB,15,1999-03-22,27,Aries,Rabbit,Earth Rabbit,Rabbit,false,53/8,35/8,35/8,4,Alabama
00-0036281,C.J. Henderson,ATL,DB,26,1998-09-30,27,Libra,Tiger,Earth Tiger,Tiger,false,66/12/3,39/12/3,39/12/3,6,Florida
00-0037815,Cameron Thomas,ATL,DL,99,2000-07-01,26,Cancer,Dragon,Metal Dragon,Dragon,false,10/1,10/1,10/1,4,San Diego State
00-0036429,Charlie Woerner,ATL,TE,89,1997-10-16,28,Libra,Ox,Fire Ox,Ox,false,52/7,34/7,34/7,6,Georgia
00-0036463,Chris Blair,ATL,WR,19,1997-10-06,28,Libra,Ox,Fire Ox,Ox,false,42/6,33,33,6,Alcorn State
00-0035630,Chris Lindstrom,ATL,OL,63,1997-02-28,29,Pisces,Ox,Fire Ox,Ox,false,56/11,38/11,38/11,7,Boston College
00-0037823,Christian Harris,ATL,LB,45,2001-01-16,25,Capricorn,Dragon,Metal Dragon,Snake,true,20/2,11,11,4,Alabama
00-0033662,Cooper Rush,ATL,QB,13,1993-11-21,32,Scorpio,Rooster,Water Rooster,Rooster,false,54/9,27/9,27/9,9,Central Michigan; Tarrant County JC
00-0033793,Corey Levin,ATL,OL,62,1994-08-12,32,Leo,Dog,Wood Dog,Dog,false,43/7,34/7,34/7,9,Tennessee-Chattanooga
00-0038628,DeMarcco Hellams,ATL,DB,23,2000-06-05,26,Gemini,Dragon,Metal Dragon,Dragon,false,13/4,13/4,13/4,3,Alabama
00-0036990,Divine Deablo,ATL,LB,0,1998-08-17,28,Leo,Tiger,Earth Tiger,Tiger,false,52/7,43/7,43/7,5,Virginia Tech
00-0037238,Drake London,ATL,WR,5,2001-07-24,25,Leo,Snake,Metal Snake,Snake,false,34/7,16/7,16/7,4,USC
00-0039070,Gervon Dexter Sr.,ATL,DL,95,2000-10-05,25,Libra,Dragon,Metal Dragon,Dragon,false,17/8,8,8,3,Florida
00-0041112,Harold Perkins Jr.,ATL,LB,56,2004-09-10,22,Virgo,Monkey,Wood Monkey,Monkey,false,25/7,16/7,16/7,0,LSU
